A\A\B421.wav,家庭军队,家庭军队。
A\C\F12.wav,早上的话就是出去逛一圈儿然后下午就是打麻将,早上的话就出去逛一圈，然后下午就打麻将。
A\C\C480.wav,嗯你摸摸我给你那张我们给你那张白纸你找一张出来嘛就我们寄给你那张白纸你找一张空白哩纸出来,
A\B\B350.wav,五八二五八二,582582。
A\B\S578.wav,不行他从来不坐出租或者公交车他就是出去去一下菜市场啊去一下超市最多,不像不像他从来不坐公交也不坐出租车，超市最多。
A\A\A595.wav,马马就是娃儿喜欢坐那个旋转木马那个马哦马嗦,
A\A\Q223.wav,每天都有吗嗯,每天都有吗？嗯。
A\C\H133.wav,汽车的一部分方向盘对了方向盘是对的啊婆婆,75方向盘。
A\C\D474.wav,然后直接开始连全部都一个一个的连,从一级开始练，还有一个月过年。
A\A\A275.wav,哦这是棵树,
A\C\D73.wav,某个人在干什么写的这句话要意义要有主语要有动词,每个人在干什么？那句话要有意义，要有主语用有动词。
A\C\C417.wav,哪些是新加进来哩哪些就是,还是请加进来的，那就是。
A\B\Z261.wav,好爷爷我现在给你念一些词语哈等哈我要再问你你要把它记到起哈能记到多少个是多少个哈我念的时候你跟我重复一下哈第一个是胳膊胳膊就是这个手哈胳膊你跟我重复一哈胳膊,你妈猫猫莽宝宝，父子砍柴那个斧子喝胡子戳床，床，嗯，床把你跟倒练嘛，床，听不懂，穿产啊，哎呀，鸡，飞机啥子，嗯，耳朵。
A\C\F408.wav,那他打电话可以打那种十一位电话号码自己可以不,那他大点还可以打的那种是以为的那种电话号码可以拨吗？
A\A\A605.wav,哦蜗牛是不是是海马,嗯。
A\C\C334.wav,我有我有加了他一个微信嗯对大概你是两到天之后哈你再联系他你就是问好久可以取去门诊取一个你们的报告取一个,我加她一个微信。
A\A\B238.wav,主要是我觉得他这个样子啊老觉得他神智意识不是很好但是晚上意识还清醒的话就还好吧,人生是好萌。
A\B\Y429.wav,将就嘛还是还是可以过得去就是,
A\B\Q69.wav,平日他穿衣服都是个人搭配嘛还是你们给他找好帮他穿,你一天穿衣服都是各人搭配吗？还是你们给他找好帮他穿？
A\C\A226.wav,那婆婆现在有没有什么异常举动比如说摆弄纽扣什么的,老婆啊，不保险的又没得异常举动啊，比如什么的。
A\A\B555.wav,就是叔叔全部写写画画的这些就是拍个照发给我就可以了,你爸就是谢谢花花的这些，就是拍个照发给我就可以了哈。
A\B\C89.wav,哦夹子对头,嗯，我家的对头。
A\C\F343.wav,空虚不那有时候还是感到空虚好打那您觉得生活厌倦吗,恭喜。
A\A\B430.wav,唱戏带的面具面具这个剪刀,我长期戴的面具啊，面具啊，店长。
A\A\C194.wav,你住的好多层楼呃八楼,你都有好多钱咯，8楼。
A\C\B281.wav,六一九四七三好五九一七四二八,六1就是西35917428。
A\B\R261.wav,都得是你们把这个服用的分量啊什么的都给她弄好了对吧唉对对定时给她吃因为怕她吃重,这是你们吧？这个什么都给他弄好，他吃吃醋。
A\B\R157.wav,尽量她还是都做一次嘛还是能做的都做了这样的话指标多一些嗯评判的标准也多一些,还是你们一些，嗯，糖多一些。
A\A\C609.wav,眼睛眼睛马马,眼睛严军妈哦。
A\C\D204.wav,这个也看过的,这个呀。
A\C\C579.wav,不是你要明白它内个一起就是说你从数字一开始你不抄它作业嘛,
A\B\S37.wav,叔叔你想写什么就写什么然后我不给你提示好不好你随便现在想起什么就写,我是不是你相信什么就写什么，然后我不给你提示好不好？你随便想什么就行。
A\B\E84.wav,还有一种就是测量物品长度的东西长度啊嗯那是直尺哦,还有一种就是只得两娘母平，长度啊，辞职了。
A\B\C110.wav,钟自行车好一百减七又算,中自行车，好100斤汽油算。
A\A\Q861.wav,锅铲钳子独木舟他是哪一个,郭传乾子独木舟他是哪一个？
A\A\D211.wav,你叫啥子名字哎,是啥子家的名字？
A\A\D306.wav,不容易因为有些事情我办不到你觉得你的脑子还像以前一样清晰吗头脑还清晰不,不容易，因为有些事情我办不到，哦，你觉得你的脑壳还像以前那么清晰不？头脑还清晰不？
A\A\A837.wav,鸟猫头鹰家具书桌,妈么？
A\C\E169.wav,画在上头来不他说算啦最后一个最后一个他不晓得没画好他行你现在把信封拿起来再放一张白纸在他面前,我在上头来不？他说你把信封拿出来，再放一张白纸在他面前。
A\A\C154.wav,晓得是杯杯还是瓶瓶哦我记不到了哦好过那勒个乐器是啥子也,这是杯杯儿，瓶瓶儿，我记不到那个乐器是啥子呀？
A\A\Q027.wav,把左手举起来,哦。
A\B\Z265.wav,一个都想不起来了吗一二三四五都有,她记不到了，来哈。
A\A\E167.wav,嗯海洋还有呢角落儿童军队旗子,二筒的妻子。
A\A\C500.wav,勇气灵气默契,用起，用起，我去。
A\A\C073.wav,然后你还要拿一张勒个白纸放在她面前,然后你还要拿一张那个白纸放在他面前。
A\A\D479.wav,飞机有没得,飞机有没得？
A\C\C642.wav,好我想不起了来我们再复习一遍嘛,这几样就想不起了，复习哦。
A\C\C699.wav,这个老师你回答一下陈老师他平时有没得固执啊情绪比较激动的情况,比较极端。
A\C\B335.wav,自行车猫斧子锤子记不得了再想一下嘛,自行车猫，虎仔，锤子，没得啊？
A\B\H60.wav,嗯好边读边记哈,嗯，v鲨鱼好边读边记哈。
A\A\C259.wav,八十六,86。
A\C\G233.wav,这个是个表盘撒手表盘撒挨到起写时间一二三四五六七八九十十一十二,这个表盘手表盘。
A\A\D056.wav,七八九十,嗯。
A\B\B52.wav,婆婆我来问你一些简单的问题哈就是今年是几月份安现在嘛,我问的是简单的问题哈，这今年是几月份儿啊？
A\C\D394.wav,要画出指针指到十一点十分你试一下呢,打花池砖，直到11:10生下。
A\B\S269.wav,角落,正宗角落。
A\C\E9.wav,石柱是属于这个噻重庆管辖噻嗯,是只属于这个噻，重新关一下噻。
A\A\A361.wav,爷爷你嘞个自理能力没得问题哈,
A\B\D188.wav,呃那你有没有在家里会就是喜欢在家里不愿意出去玩儿啊那些呢我都得下午回来还是上往下往就作数咯,安利有没有在家里回？就喜欢在家里，不愿意出去玩。
A\B\R246.wav,呃外出活动什么的只是说在比较熟悉的地方或者说一定范围内是吧哎对,哦，买出活动什么的，就说在比较熟悉的地方和二叔，没得事吧，对对？
A\A\E332.wav,九七二三九七三二,97239732。
A\B\L8.wav,这个啥子瓢是一个啥子瓢嘛是个啥子,你是个啥子瓢？这个啥子票嘛？
A\A\A253.wav,床,我。
A\B\B421.wav,开开心心嗯还有吗,开开心心。
A\C\E103.wav,直尺望远镜仙人掌摇铃,嗯。
A\A\E017.wav,家属在旁边问你我说对了没有对了对了,家属在旁边玩得怎么样？
A\B\B261.wav,然后对对对然后你把把笔放在这张纸的另一边,对，这个哎，然后你把笔放到一张纸的另一边。
A\B\Y378.wav,额椅子嗯,
A\A\A102.wav,哦独木舟,
A\B\D195.wav,呃那你觉得生活充满活力吗这些这些年生活是真是好哦比前些年好,嗯，那你觉得生活充满活力吗？
A\C\F119.wav,那我们再来一遍还是记一下哈你现在念得时候记一下哈,那我们在那一边还是记一下哈，我在那边，你现在练的份儿。
A\B\S35.wav,哎画好了然后叔叔你在旁边写一句话呗想写什么都行但是这句话要完整有主语有动词叔叔,然后叔叔你在旁边写句话呗，相信什么都行，但是这句话要弯着，油珠又懂事，说说。
A\A\E115.wav,二胡哈二胡,喝。
A\B\E375.wav,那他有没有就是说对自己周围的世界失去了兴趣或者对什么事情缺乏了关系啊那种状况,那他又没有说是对自己周围的世界失去了情趣，我要对什么事情都缺乏关心啊。
A\A\Q818.wav,嘴唇嘴唇啊哎,嘴唇，嘴唇啦，爱。
A\A\E012.wav,星期几知道吗星期,请寄知道吗？
A\A\B391.wav,方向盘哎对好还有一种是,方言版，哎，对啊，还有一种是。
A\B\Y432.wav,那你有没有希望呆在家里不愿意去做一些新鲜的事,
A\C\H338.wav,田额没有寂静读过吗寂静,签了没有？度过吗？
A\C\C180.wav,还有吗等一下,还有吗？等一下。
A\C\E22.wav,我都搞忘了好搞忘了哈那我再给你说一遍你记到哈皮球国旗树木,搞忘了哈，皮球国旗。
A\A\D184.wav,问你记忆力感觉国人感觉好不好记忆力哦哦一般一般,
A\B\B549.wav,好这张纸诶,嗯。
A\C\C376.wav,就苟老师就是说陈老师画完之后哈你会把所有哩测试之后所有哩图全部照相发给我嘛就,
A\A\B443.wav,幺拇指他说幺就是小好的好的,幺妹子她说你咬就笑。
A\A\Q239.wav,是根绳的嘛柑子树树对这是啥子,是跟叔叔嘎嘎，说对这啥子。
A\A\A373.wav,是否觉得生活空虚不觉得空虚,如何？
A\B\E313.wav,然后他偶尔会出现失神的状况就是你叫他他不会回答你每次出现都大概这样几十秒钟然后就正常了,让他偶尔会出现这种湿身的状况，只是另叫他他不会回答，你，每次出现打开就这样计10秒钟，然后就正常了。
A\B\S665.wav,眼睛眼睛,眼睛。
A\B\D227.wav,那她打电话呢就是比如说十一位那种电话号码她可以自己播吗电话号码就是她本来就不识字就是她把我们一家人就是她所熟悉的这些人的她都记住了她他可以用手机,那他打电话那就是比如说是因为你用电话号码能直接拨吗？
A\B\L104.wav,你敢说它是有还是没得安想一哈,你敢说他是有还是没得呀？不想呀。
A\B\A346.wav,阿姨那您觉得您集中精力困难吗就是如果集中精力做一些事情的话觉得困难不喊你专门做一件事情集中精力得行不对,哎，那你觉得练级中奖励柯南吗？就是如果把集中精力做一些事情的话，觉得困难不？哎对。
A\C\B339.wav,椅子椅子轿车轿车眼睛眼睛马,地址，女子轿车，轿车眼睛的。
A\A\Q589.wav,老虎黎明黎明黎明乞丐,老米厘米西寨。
A\C\D523.wav,不住在一起她之前都是好的就是有一天突然一哈记忆力,嗯，不怎么意思，他之前都是好的，就是有一天突然。
A\B\D181.wav,就是像称那种啊磅秤那种哦,就是想成了旧爱了。
A\B\B36.wav,你平时有没有做噩梦安诶我不做梦,你平时有没有做噩梦？我不做梦。
A\C\A198.wav,她写了个八啊她是没听懂应该是那估计这个连线他也做不了因为这种情况她连线,她写了个吧，哈哈，就是没听懂应该是。
A\B\L94.wav,奔驰嘞个也没得,奔驰那个还没得。
A\B\H152.wav,记不到了哪些紧固件记不到夹东西的紧固件是啥子,批准你是啥子？
A\C\E405.wav,笔呀笔呀铅笔嗯,哦。
A\C\F351.wav,好的那你有没有大部分时间感觉到很幸福呢有没有大部分时间感觉很幸福,哦，好的，那你有没有大部分的时间感觉到很幸福呢？有没大部分时间感觉很幸福？
A\B\B3.wav,那你平时平时大概躺要躺好久才睡得着安,那你平时随时大概躺要躺好久才睡得着呀。
A\A\B721.wav,睡觉睡不好有几年了,睡觉睡不好有几年了。
A\C\A169.wav,这个是啥子椅子嘛她说椅子椅子哈这个每个问题基本都要重复一遍她才能回答出来哈,你说啥子？一直跑一直跑哈，那个问题基本都要重复一遍他看看。
A\B\Y331.wav,河马,哦。
A\B\B436.wav,嗯还有吗马嘛马嗯猴猴好的,嗨吗？嗯，好好的。
A\B\H100.wav,刚才看的刚才看的哪些东西里面用来看东西的是哪一个,刚才看的，刚才看到那些东西里面的东西那是哪一个？
A\C\H73.wav,嗯好哪一个属于植物仙人掌哪一个是用来看东西的物品,嗯，好，这里面那一个属于植物写那个时候他看东西的物品。
A\C\C409.wav,好现在来,接下来。
A\C\C315.wav,啊就是算账啦好比说就是几块加几块后头不见了就是从充钱充那些那个,哦，就是算账了一下。
A\A\E082.wav,然后阿姨请您回忆一下哈刚才给您看的十六个词看你能想起来哪些,然后阿姨轻轻地挥一下哈，刚才我给你看到16个词，看你能想象那些。
A\A\A473.wav,你标个十一点一十出来嗯十一点一十啷个十一点过十分哦,
A\A\A330.wav,还有没有应该还有,么？
A\B\B553.wav,你看数字六它下头是不是有个符号长嘞个样子,那树子路她现在又是这个符号长那个样子。
A\B\C80.wav,这个不晓得叫啥子这个是一种在埃及的一种建筑,那个不晓得，嗯叫啥？这个是一种在埃及的一种建筑。
A\C\B403.wav,好像没有呀没有哈那您觉得未来有希望吗有那你有没有大部分时间感觉到精力很充沛,好像没有呀，没有哈，那你觉得未来有希望吗？要，那你又没有大部分时间干得到精力很充沛呢。
A\A\A545.wav,这根线也要把他连起来,苹果。
A\B\Z319.wav,每周有几次还是一次安一次一次吧那个样子不频繁,每周有几次还是就一次啊？啷个样子不平凡。
A\B\B209.wav,家庭安家庭对的嗯有嘞个词对的,加禁言，对。
A\B\B469.wav,诶然后汉字二跟数字三也要连起来,挨到汉子二个数字三怎样连起来？
A\A\D492.wav,就思维本身恐怕也比较执着于过去就年轻的时候也有点这种,思维本身恐怕也比较那个执着于过去，年轻的时候有点儿那种。
A\C\A46.wav,图书和哪个是一对儿刚才他说滴,图书和哪个是一对儿？刚才他说的。
A\C\H349.wav,村庄角落勇气容器,裙装觉咯，用起，用起。
A\A\B034.wav,起码要半个小时以上哈坐起来不能喂了马上把他平下去,梦梦。
A\B\G241.wav,鳄鱼呃是一种海洋生物,鳄鱼，嗯，是一种海洋生物。
A\C\C752.wav,陈老师这是啥子啊你看一下,你看一下。
A\A\B704.wav,哦好那有没有就是幻觉的症状呢就是听到或者看到那些你们看不到听不到的东西,他又没有，这是幻觉的症状，那就是听到或者看到。
A\C\E508.wav,我看衣裳他一是啷个听嘛他那种是啷个,
A\A\D363.wav,哦好这样子现在我给你看一个视频哈婆婆他教你咋个画,哦，好，这样子，嗯，现在我给你看一个视频哈，婆婆她教你咋个换。
A\A\E554.wav,那你是否希望待在家而不愿意去做一些新鲜事,嗯，反正是不希望呆在家里，而不愿意去做一些新鲜事儿。
A\B\S38.wav,哎叔叔您现在拿起这张纸你用右手拿起这张纸可以吗,叔叔你现在拉起这两句，有时候拿起这张纸，可以吗？
A\B\A357.wav,阿姨现在自己还在家里做饭吗她一般她只能煮饭但炒菜这些就记不到了,哎，想到之前还在家做饭吗？煮饭。
A\A\A389.wav,觉得生活令人兴奋吗兴奋啊嗯倒没啥好大兴奋觉得生活还阔以,幸福，嗯。
A\A\D571.wav,好的我们下一项下一项,
A\C\H454.wav,好然后然后我们还是要看几张图片哈,然后，然后我还是要看这张图片哈。
A\B\Y207.wav,数字到汉字汉字到数字,
A\B\Q30.wav,不想哭没觉得想哭是否觉得,我想霉霉的。
A\C\B391.wav,你觉得它像尺子还是像圆规圆规,你觉得他像池子还像圆规，圆规，哈哈，这个。
A\C\F643.wav,好那现在我们再来一遍,那我们再来一遍哈，胳膊哦，猫。
A\B\L33.wav,现在勒张百纸假装是你给自己写好的信你把勒张纸先装到信封里面,现在那张白纸假装是你给自己写好的信，你把那张纸先装到信封里面。
A\B\B661.wav,这个安这个是个啥子动物嗯,这个呀，嗯。
A\A\B307.wav,叔叔你现在不看时间你告诉我现在大概几点钟啊,所以说你现在不看时间的，告诉我现在大概几点钟呀？
A\B\R59.wav,您是出生在哪里呀您的出生地是哪里出生啊那个时候我们都抓子安你在哪里出生的出生在哪里地方在哪了地方就是在那里生的哦哪里哎名字在哎那里在哪里把名字说出来,这是畜生，畜生在哪里呀？你出生在哪里？你在哪里地方？在那里，在那里。
A\A\A153.wav,军队家庭,
A\B\B783.wav,同龄人嗯差不多我们这的大家差不多啊好的都是老龄人,同龄人，嗯，好。
A\A\E203.wav,用食指还是哪个指头注意听哈注意听哈阿姨,
A\B\Z77.wav,这是啥子呀这是啥子爸爸这是啥东西锁着呀,为啥子啊？那是啥子这？
A\A\D265.wav,比如说我说一二三你就念三二一,你说我说1236年321。
A\B\E388.wav,之前没喝中药之前那个失神频率挺高的哦,以前没喝中药之前，那个失身的那个频率提高了。
A\B\S262.wav,贴这儿贴好嘞,
A\A\Q006.wav,我国人的家噻你住在国人家头滴是不,
A\A\C373.wav,就是减七是吧八十六再减七,就是三件78，86。
A\A\E400.wav,好最后一遍哈阿姨最后一遍胳膊胳膊猫胳膊猫斧子斧子床床飞机飞机耳朵耳朵狗狗锤子锤子椅子椅子轿车轿车眼睛眼睛马马刀子刀子钟钟自行车自行车,住院胳膊干嘛？老婆，妈胡子脖子啊，棒飞机，北京耳朵高锤子，锤子1，地址，脚，眼妈，刀子，老子中。
A\A\D122.wav,吃饭需要喂不国人吃会不会吃的撒的到处都是要撒点,
A\A\Q183.wav,刀子刀子钟,不刀子都中。
A\B\E221.wav,这个蜗牛海马,那几个，嗯，嗨嘛。
A\A\B471.wav,地址哪点写给你自己,你给他点荔枝季。
A\A\B439.wav,红圈圈圈出来这个大拇指嘛好这个呢,红圈圈出来的帐暂不知嘛。
A\C\F34.wav,就内个跟前的内个地方叫满汉站,就那个跟前儿那个地方叫曼哈顿。
A\B\B667.wav,冰屋诶对的,饼屋，嗯，对的。
A\A\Q455.wav,他是听不到还是听不懂听不懂啊,他是听不到还是听不懂，听不懂。
A\C\F211.wav,内个我看不出来内个我看起不像他是夹东西用的,我看病不像，他说。
A\C\E262.wav,都是十六页是不嗯先把十六页拿出来嗯你看它上面的数字哈,26页是不？嗯，先把16页拿出来。
A\C\E346.wav,画一个钟哈那个钟上面唉要有指针有数字指到十一点过十分儿画嘛,你花一个十一点过十分儿钟出来吧。
A\C\B383.wav,是我这里不清楚迈是你们弄得故意不清楚的考我的哟,是我的这里不清楚吗？是你们故意弄得不清楚的考我的，呵呵。
A\B\D22.wav,啊家属这些问题婆婆都回答的对的吗对的这几个问题,大家说这些问题不都回答得对的吗？
A\C\C386.wav,没事撒你画你画完唠之后再看好没得事哈老师你看一下有没有一张信封应该是一起寄给你们哩,你看。
A\B\B79.wav,八十二再减个七安,把12再捡个钱。
A\B\F45.wav,刚刚给你的那个随便拿一张纸家属帮一下她把这个手机镜头拿远一点我要看她手上的动作我现在看不到她的手,刚给你寄的那个啊，随便拿一张纸，拿手机，嗯，他说帮他把那个手机镜头拿远点儿，我要看他手上的动作，我现在看不到他的手。
A\B\A102.wav,还是记得到哈提示您还是能记到一些然后您来数数倒数二十个数就是从二十数到一,还是记得倒了哈，今年70年还是倒数20个数，就是从20数到一。
A\C\D366.wav,这个是啥子呀哪个这个是啥子我想不到了,那个啥子呀？这个。
A\B\B686.wav,啊它是一个工具用具夹钳嘛对的对的,那他是一个工具用具，价钱蛮对的。
A\B\E335.wav,等我想想那他可以自己吃药吗就比如说自己什么那个,他可以直接吃药吗？就比如说自己，有什么那个。
A\C\F483.wav,老虎老虎有,老鼠老鼠哟，一名。
A\B\L199.wav,嗯好那我再给你念一遍你注意听嗯,嗯，那我再给你念一遍哈，你注意听。
A\B\R248.wav,有一次就是上次来重庆检查的时候她自己洗澡摔了一跤我们不让她自己洗我们都陪伴她,又有伞就是嗓子在重庆建造，然后他自己洗澡，摔了跤我们不让他去，我们都去玩了。
A\C\B350.wav,胳膊斧子猫自行车好等我记录一下哈,宝宝虎子猫自行车。
A\B\Z209.wav,嘞个安念到过没得念到过念到过,练到过没得啊，爸爸那个年都过没得，没得，没有没有。
A\A\A746.wav,集中精力有苦难不,了。
A\B\Y341.wav,什么牛安什么牛,
A\A\B699.wav,好的那他情绪怎么样呢情绪还可以就是,那他情绪怎么样呢？情绪还可以就是。
A\B\S558.wav,就是不会尿失禁这种不会控制不住大小便是吧对,就是。
A\B\A350.wav,然后她穿衣服都可以自己完成吗就是自己找自己穿可以可以,然后她穿衣服都可以直接完成嘛，就是自己照的。
A\A\C666.wav,就水里游的没有说过自行车自行车说过,9岁你又得没有自行车。
A\B\Y365.wav,实线那就是应该是那个像镂空的花篮一样,
A\C\D165.wav,啊地址应该写在哪个位置你晓不晓得不晓得,晚安，地址你写在哪个位置都晓不晓得，没得。
A\C\C771.wav,那个属于飞镖那种吗嗯对的这个呀,对。
A\B\G133.wav,这是夹子,哲学啥子？
A\B\G1.wav,大概晚上几点上床睡觉啊大概十一点多,他大概晚上7:00上床睡觉呀。
A\A\A306.wav,有时候心情不好不是不是经常,
A\A\B691.wav,公共汽车听过了床床听过了,我们就近过来发，听过了。
A\A\A597.wav,自行车医生自行车哦自行车自行车,
A\A\Q329.wav,猫念过没得嘛猫,猫那个没得嘛，猫。
A\B\A262.wav,然后汉字的一再连数字的二嗯,然后涵只能倚在练数字的2。
A\C\H377.wav,接下来我要说一串数字我正着说你就要反着说比如说我说一二三你就要说三二一听懂了吗,接下来我要输一串数字碗，嗯，比如说我说123就要说321，听懂了吗？
A\A\A657.wav,胳膊胳膊有鼻子鼻子有,糊糊5。
A\B\C78.wav,这个是一种医生用品哦听诊器,那个是一种医生的用品，呵呵，听诊器。
A\A\Q790.wav,属于动物的词属于动物,是奔5的吃，徐东。
A\A\Q466.wav,然后双手把他对折在放到你的大腿上你现在做哎应该啷个做哎,然后双手把它对折，再放到你的大腿上，看你挺得住啊，你该啷个做啊。
A\C\F324.wav,那锤子锤子刀子刀子,拿锤子，锤子油饺子，老子。
A\A\D576.wav,看得到各是各的认不到哦你认不到字是吧,
A\B\B525.wav,没得没得汉字十三啊好了吗,没得没得。
A\A\A378.wav,是否会害怕不幸的事情落到你头上没有没有,
A\C\C651.wav,说了耳朵朵没有哦嗯没有对有耳朵,嗯嗯，还有22:00没哟，嗯。
A\A\Q477.wav,好画完了画完了哈好我们进行下一项,好花完啦，他们进行下一下。
A\A\Q088.wav,那你有没有觉得嘞种在屋头你们看到他有没得嘞种坐立不安啊心烦意乱这种情况没得,哦！
A\A\E245.wav,你举起来给我看一下贴邮票处这边贴邮票处好的好的好的,给我看一下嘛。
A\A\B707.wav,他跟我们在一起还强反正要跟我妈在一起就特别容易生气而且特别小气,他跟我们在一起还抢，反正要跟我妈在一起就特别容易生气，而且特别小气。
A\B\F156.wav,娘娘回忆一下刚刚记得那些词你看下你能想起好多我先不忙提示你,嗯，这回一哈儿记得一次，你看你啷个想起好多，我先不忘提醒你。
A\A\B658.wav,做任何事情迈自己国人做主哟,任何事情骂自己，个人知足哦。
A\B\S550.wav,那假如让妈妈打个分程度是轻微的苦恼还是中度的严重的嘛重度的,而假如让妈妈带个粉的话就哭了，成都就不用说哭了就哭了。
A\B\S412.wav,不要放弃嘛坚持一下,不要放弃嘛，坚持一下。
A\B\S56.wav,有一种运动器材,有一种运动切菜。
A\B\B505.wav,诶我们找到另外一张图另外一张图要诶对的就是这张图,来我们找到另一张图，这张图。
A\B\S466.wav,四九六八九四六八,吃酒不发90。
A\C\B373.wav,这个像个什么冰屋迈嗯好的这个,这个像个什么饼屋吗？
A\B\Y162.wav,正确的,
A\C\C109.wav,唉那苟老师在不在你把苟老师喊过来嘛勒也是你儿子哈还是女婿,狼哥是老师。
A\B\E140.wav,陀螺见过没见过,菠萝煎膏。
A\A\Q593.wav,寂静你跟我读一遍哈寂静,日记你给我读一遍哈，自己。
